CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existente por Município e Ano/mês compet.
Leitos complementares: UTI adulto II COVID-19
Período:2020-2022
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov"
"110002 ARIQUEMES";-;-;6;18;18;18;18;18;18;18;18;18;28;28;28;28;28;28;28;28;28;28;28;28;28;28;20;-;-;-;-;-;-
"110004 CACOAL";-;16;16;16;16;16;16;16;16;16;16;16;28;28;28;28;28;28;28;28;28;28;28;28;-;-;-;-;-;-;-;-;-
"110011 JARU";-;-;5;5;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-
"110012 JI-PARANA";-;-;-;-;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;10;10;-;-;-;-
"110015 OURO PRETO DO OESTE";-;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;-;-;-;-;-;-
"110020 PORTO VELHO";10;22;63;96;92;145;115;115;115;98;110;180;217;217;216;230;237;237;237;237;211;211;177;177;165;101;60;-;-;-;-;-;-
"110030 VILHENA";-;10;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-
"120010 BRASILEIA";-;14;14;14;14;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120020 CRUZEIRO DO SUL";-;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-;-
"120040 RIO BRANCO";10;30;30;40;40;70;70;70;70;70;70;90;90;90;90;70;70;60;30;30;30;30;30;30;30;-;-;-;-;-;-;-;-
