CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade Não SUS por Município e Ano/mês compet.
Leitos complementares: UTI adulto II COVID-19
Período:2020-2022
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov"
"110002 ARIQUEMES";-;-;-;12;12;-;6;6;6;6;6;6;-;-;-;-;-;-;-;-;-;-;-;-;28;28;20;-;-;-;-;-;-
"110004 CACOAL";-;-;16;-;16;16;16;16;16;16;16;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"110011 JARU";-;-;5;-;-;-;-;-;5;5;5;10;5;5;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-
"110012 JI-PARANA";-;-;-;-;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;4;4;4;4;4;20;20;20;10;10;-;-;-;-
"110015 OURO PRETO DO OESTE";-;6;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;6;6;6;-;-;-;-;-;-
"110020 PORTO VELHO";10;10;41;59;55;86;93;81;98;81;110;180;154;132;113;127;134;134;134;134;108;108;74;74;165;101;60;-;-;-;-;-;-
"110030 VILHENA";-;-;-;-;10;10;-;-;-;10;20;20;10;10;10;10;10;10;10;10;10;10;10;10;20;20;20;-;-;-;-;-;-
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-
"120010 BRASILEIA";-;14;14;14;14;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"120020 CRUZEIRO DO SUL";-;10;10;-;10;10;20;20;20;20;20;10;-;-;-;-;-;-;-;-;-;-;-;-;20;20;-;-;-;-;-;-;-
"120040 RIO BRANCO";10;20;20;20;20;30;50;40;40;60;60;50;60;60;60;40;40;30;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-
"130002 ALVARAES";-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130070 BOCA DO ACRE";-;-;-;6;6;6;6;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130080 BORBA";-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"130100 CARAUARI";-;-;-;-;3;3;3;3;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130120 COARI";-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-
"130230 JUTAI";-;-;-;2;2;2;-;2;2;2;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130240 LABREA";2;2;2;2;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130250 MANACAPURU";-;-;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130260 MANAUS";-;88;68;25;74;172;167;178;41;46;141;188;143;63;53;53;53;53;127;76;34;24;25;25;202;37;36;-;-;-;-;-;-
"130330 NOVO ARIPUANA";-;-;-;4;4;4;4;4;4;4;4;4;4;-;-;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130356 RIO PRETO DA EVA";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"130423 TONANTINS";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"140010 BOA VISTA";-;-;20;10;10;22;22;32;32;10;62;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"140047 RORAINOPOLIS";-;-;-;-;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-
"150010 ABAETETUBA";-;-;-;5;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-;-;-;-;-;-
"150060 ALTAMIRA";-;-;-;-;-;10;-;-;-;8;8;8;30;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"150080 ANANINDEUA";-;24;9;9;21;36;36;36;36;36;36;46;49;34;23;23;23;23;20;20;20;35;34;34;34;34;34;-;-;-;-;-;-
"150130 BARCARENA";-;2;2;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150140 BELEM";-;109;93;224;16;191;155;155;85;85;90;85;206;73;88;47;47;47;47;47;47;66;47;47;94;46;46;26;9;-;-;-;-
"150170 BRAGANCA";-;-;-;-;-;30;30;30;30;20;20;-;10;10;10;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-
"150180 BREVES";-;5;23;24;24;24;24;18;18;18;18;18;25;25;25;25;18;18;18;18;18;18;18;18;18;18;18;-;-;-;-;-;-
"150210 CAMETA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;8;8;8;8;8;8;8;-;-;-;-;-;-
"150220 CAPANEMA";-;-;40;30;33;43;43;43;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150240 CASTANHAL";-;-;-;-;-;12;18;12;-;-;-;52;52;62;60;60;60;60;60;60;20;20;20;30;-;-;-;-;-;-;-;-;-
"150270 CONCEICAO DO ARAGUAIA";-;12;12;12;12;12;12;12;12;12;12;12;12;-;-;-;-;-;-;-;-;-;-;-;12;12;12;-;-;-;-;-;-
"150293 DOM ELISEU";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;12;12;12;12;12;12;12;12;2;-;-;-;-;-;-
"150330 IGARAPE-MIRI";-;-;-;-;-;-;-;-;-;-;-;-;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;-;-
"150360 ITAITUBA";10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;85;-;-;-;-;-;-;-;-
"150390 JURUTI";-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
