CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade SUS por Município e Ano/mês compet.
Leitos complementares: UTI adulto II COVID-19
Período:2020-2022
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev"
"110002 ARIQUEMES";-;6;6;6;18;12;12;12;12;12;12;28;28;28;28;28;28;28;28;28;28;28;28
"110004 CACOAL";16;-;16;-;-;-;-;-;-;-;-;28;28;28;28;28;28;28;28;28;28;28;28
"110011 JARU";-;-;5;5;5;5;5;-;-;-;-;5;5;10;10;10;10;10;10;10;10;10;10
"110012 JI-PARANA";-;-;-;-;-;-;-;-;-;-;-;10;10;16;16;16;16;16;16;16;16;16;16
"110020 PORTO VELHO";12;22;37;37;59;22;34;17;17;-;-;63;85;103;103;103;103;103;103;103;103;103;103
"110030 VILHENA";10;10;10;-;-;10;10;10;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"120020 CRUZEIRO DO SUL";-;-;10;10;10;-;-;-;-;-;10;20;20;20;20;20;20;20;20;20;20;20;20
"120040 RIO BRANCO";10;10;20;20;40;20;30;30;10;10;40;30;30;30;30;30;30;30;30;30;30;30;30
"130260 MANAUS";136;186;186;122;-;5;5;107;157;157;105;217;277;287;287;287;287;177;177;177;177;177;177
"140010 BOA VISTA";-;-;10;10;20;20;10;10;10;-;-;90;90;90;54;54;54;54;54;54;54;54;54
"150060 ALTAMIRA";-;10;10;10;-;8;8;8;-;-;-;-;20;20;20;20;20;20;20;20;20;20;20
"150080 ANANINDEUA";12;27;27;15;-;-;-;-;-;-;-;-;15;15;15;15;15;15;15;15;-;-;-
"150140 BELEM";20;175;175;175;-;-;-;5;5;-;5;5;155;157;186;186;186;186;186;178;64;64;64
"150170 BRAGANCA";-;30;30;30;-;-;-;-;10;10;10;-;10;10;10;10;10;10;10;10;10;10;10
"150180 BREVES";-;-;-;-;-;-;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150220 CAPANEMA";-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"150240 CASTANHAL";-;-;6;6;6;-;-;12;12;12;-;-;-;12;12;12;12;12;12;12;12;12;-
"150270 CONCEICAO DO ARAGUAIA";-;-;-;-;-;-;-;-;-;-;-;-;12;12;12;12;12;12;12;12;12;12;12
"150360 ITAITUBA";-;-;-;-;-;-;-;-;-;-;-;-;75;75;75;75;75;75;75;75;75;75;75
"150420 MARABA";-;10;10;10;-;10;10;10;-;-;-;-;25;25;25;25;35;35;35;35;35;35;35
"150613 REDENCAO";-;-;-;-;-;-;-;-;-;-;-;-;21;21;21;21;21;21;21;21;21;21;21
"150680 SANTAREM";-;27;27;27;-;-;-;-;-;-;-;7;52;45;45;45;45;45;45;45;45;45;45
"150810 TUCURUI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5
"150812 ULIANOPOLIS";-;7;7;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"160030 MACAPA";-;32;32;-;32;-;-;-;-;-;-;66;85;85;85;85;85;85;85;85;-;-;-
"170210 ARAGUAINA";-;20;20;20;37;27;17;5;27;27;22;17;17;17;42;62;62;62;62;62;52;52;52
"170255 AUGUSTINOPOLIS";-;-;-;-;-;-;-;-;10;10;10;-;-;-;10;10;10;10;10;10;10;10;10
"170950 GURUPI";-;-;-;-;-;-;-;-;5;5;-;5;5;5;26;26;26;26;26;26;26;26;26
"171820 PORTO NACIONAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10
"172100 PALMAS";-;16;16;16;46;46;30;15;51;51;41;15;15;15;55;85;85;85;85;85;85;85;85
"210005 ACAILANDIA";-;10;10;10;10;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10
"210120 BACABAL";-;-;-;-;-;-;6;6;6;-;-;11;11;21;18;18;18;18;8;-;-;-;-
