days_to_fit_within_outbreak,outbreak,date,train_period,estimated_new_deaths_mean,estimated_new_deaths_lower_bound,estimated_new_deaths_upper_bound,actual_death_rate,actual_inside_confidence_interval
21.0,8.0,2020-02-16,True,,,,0.0,False
21.0,8.0,2020-02-17,True,7.587554480594846e-06,7.2880871169341494e-06,7.896677146414446e-06,0.0,False
21.0,8.0,2020-02-18,True,9.167396260545053e-06,8.758087130280753e-06,9.552059342665323e-06,0.0,False
21.0,8.0,2020-02-19,True,1.1078351465535059e-05,1.0659920333743377e-05,1.1497835700961524e-05,0.0,False
21.0,8.0,2020-02-20,True,1.3394010556394098e-05,1.2866934783810905e-05,1.3913647624036845e-05,0.0,False
21.0,8.0,2020-02-21,True,1.618979494661854e-05,1.5530710916637898e-05,1.6830197324430948e-05,0.0,False
21.0,8.0,2020-02-22,True,1.9565023564476728e-05,1.8777469456478442e-05,2.0300105327781513e-05,0.0,False
21.0,8.0,2020-02-23,True,2.3645494061140027e-05,2.2709995885891764e-05,2.4612308809608856e-05,0.0,False
21.0,8.0,2020-02-24,True,2.8574893771213098e-05,2.7481770612569186e-05,2.9702391258389536e-05,0.0,False
21.0,8.0,2020-02-25,True,3.45365510225069e-05,3.317271459581468e-05,3.586160198137222e-05,0.0,False
21.0,8.0,2020-02-26,True,4.174695567195565e-05,4.011797858724948e-05,4.334173786918581e-05,0.0,False
21.0,8.0,2020-02-27,True,5.046097131261667e-05,4.8402476752623045e-05,5.235592160014634e-05,0.0,False
21.0,8.0,2020-02-28,True,6.0987995473110726e-05,5.866212162253006e-05,6.351223183789873e-05,0.0,False
21.0,8.0,2020-02-29,True,7.371313408981082e-05,7.079334788980294e-05,7.670094970300169e-05,0.0,False
21.0,8.0,2020-03-01,True,8.90908054358986e-05,8.562535918380346e-05,9.253464801332375e-05,0.0,False
21.0,8.0,2020-03-02,True,0.00010769902293955999,0.0001033066310577051,0.00011170441153951752,0.0,False
21.0,8.0,2020-03-03,True,0.00013019828200434,0.00012517554575291635,0.0001353675374520325,0.0,False
