DATA,PERCENTUAL_VARIACAO_VISITAS_VAREJO_LAZER,PERCENTUAL_VARIACAO_VISITAS_MERCADOS_FARMACIAS,PERCENTUAL_VARIACAO_VISITAS_PARQUES,PERCENTUAL_VARIACAO_VISITAS_ESTACAO_TRANSPORTE,PERCENTUAL_VARIACAO_VISITAS_LOCAIS_TRABALHO,PERCENTUAL_VARIACAO_PERMANENCIA_RESIDENCIAS
2022-01-01,-56.0,-46.0,39.0,-46.0,-57.0,6.0
2022-01-02,-14.0,34.0,20.0,-8.0,2.0,4.0
2022-01-03,-9.0,43.0,13.0,-5.0,-5.0,7.0
2022-01-04,-9.0,43.0,5.0,-6.0,-4.0,7.0
2022-01-05,-7.0,43.0,12.0,-5.0,-1.0,7.0
2022-01-06,-8.0,47.0,12.0,-6.0,-1.0,7.0
2022-01-07,-6.0,50.0,1.0,-5.0,3.0,7.0
2022-01-08,-8.0,41.0,-12.0,-6.0,12.0,7.0
2022-01-09,-16.0,35.0,-19.0,-15.0,12.0,8.0
2022-01-10,-5.0,47.0,-6.0,-2.0,6.0,6.0
2022-01-11,-9.0,41.0,-5.0,-6.0,2.0,6.0
2022-01-12,-7.0,39.0,8.0,-5.0,3.0,7.0
2022-01-13,-8.0,42.0,11.0,-5.0,3.0,6.0
2022-01-14,-7.0,43.0,8.0,-3.0,6.0,6.0
2022-01-15,-8.0,37.0,1.0,-2.0,14.0,5.0
2022-01-16,-12.0,36.0,2.0,-9.0,13.0,5.0
2022-01-17,-8.0,40.0,1.0,-3.0,6.0,5.0
2022-01-18,-9.0,39.0,3.0,-4.0,3.0,6.0
2022-01-19,-4.0,39.0,11.0,-4.0,4.0,6.0
2022-01-20,-6.0,44.0,20.0,-6.0,0.0,6.0
2022-01-21,-3.0,47.0,12.0,-1.0,7.0,6.0
2022-01-22,-5.0,40.0,10.0,0.0,15.0,4.0
2022-01-23,-8.0,38.0,8.0,-5.0,14.0,4.0
2022-01-24,-7.0,39.0,1.0,-3.0,9.0,5.0
2022-01-25,-7.0,40.0,2.0,-7.0,2.0,6.0
2022-01-26,-6.0,37.0,5.0,-2.0,7.0,6.0
2022-01-27,-7.0,41.0,3.0,-2.0,8.0,5.0
2022-01-28,-6.0,43.0,-8.0,-1.0,12.0,6.0
2022-01-29,-7.0,38.0,-19.0,-5.0,17.0,6.0
2022-01-30,-13.0,35.0,-22.0,-13.0,14.0,6.0
2022-01-31,-6.0,43.0,-14.0,-1.0,14.0,5.0
2022-02-01,-3.0,48.0,-10.0,1.0,11.0,4.0
2022-02-02,-2.0,44.0,0.0,1.0,12.0,5.0
2022-02-03,-2.0,49.0,3.0,4.0,16.0,4.0
2022-02-04,4.0,54.0,-1.0,8.0,20.0,3.0
2022-02-05,7.0,53.0,-4.0,7.0,21.0,3.0
2022-02-06,-1.0,48.0,-7.0,-2.0,19.0,4.0
2022-02-07,1.0,50.0,-9.0,7.0,21.0,2.0
2022-02-08,0.0,50.0,-8.0,7.0,17.0,2.0
2022-02-09,2.0,46.0,1.0,8.0,18.0,3.0
2022-02-10,2.0,51.0,5.0,9.0,19.0,2.0
2022-02-11,3.0,49.0,1.0,11.0,23.0,2.0
2022-02-12,3.0,45.0,-5.0,6.0,21.0,3.0
2022-02-13,-1.0,44.0,-3.0,0.0,20.0,3.0
2022-02-14,-2.0,43.0,-4.0,10.0,24.0,2.0
2022-02-15,-2.0,45.0,-5.0,9.0,20.0,2.0
2022-02-16,0.0,43.0,4.0,9.0,21.0,2.0
2022-02-17,-1.0,45.0,4.0,9.0,22.0,1.0
2022-02-18,2.0,48.0,0.0,10.0,27.0,1.0
2022-02-19,3.0,45.0,-2.0,5.0,23.0,2.0
2022-02-20,-2.0,44.0,-3.0,-2.0,21.0,3.0
2022-02-21,-4.0,42.0,-7.0,9.0,27.0,1.0
2022-02-22,-3.0,43.0,-4.0,9.0,24.0,1.0
2022-02-23,-1.0,41.0,5.0,8.0,25.0,1.0
2022-02-24,-1.0,47.0,9.0,9.0,26.0,0.0
2022-02-25,3.0,56.0,10.0,12.0,29.0,0.0
2022-02-26,1.0,51.0,21.0,7.0,19.0,0.0
2022-02-27,0.0,48.0,40.0,-5.0,17.0,0.0
2022-02-28,-9.0,37.0,60.0,-23.0,-26.0,6.0
2022-03-01,-25.0,15.0,42.0,-34.0,-44.0,9.0
2022-03-02,-9.0,37.0,13.0,-9.0,1.0,5.0
2022-03-03,-5.0,48.0,11.0,4.0,23.0,1.0
2022-03-04,0.0,50.0,4.0,4.0,28.0,2.0
2022-03-05,5.0,51.0,2.0,1.0,25.0,2.0
2022-03-06,-1.0,47.0,1.0,-6.0,23.0,3.0
2022-03-07,-2.0,47.0,-2.0,8.0,31.0,1.0
2022-03-08,2.0,50.0,3.0,7.0,27.0,1.0
2022-03-09,-1.0,44.0,9.0,5.0,28.0,2.0
2022-03-10,-2.0,47.0,12.0,5.0,30.0,2.0
2022-03-11,-2.0,44.0,5.0,5.0,33.0,2.0
2022-03-12,2.0,44.0,-2.0,-1.0,25.0,4.0
2022-03-13,-5.0,41.0,-6.0,-8.0,22.0,5.0
2022-03-14,-9.0,35.0,-6.0,4.0,34.0,3.0
2022-03-15,-7.0,39.0,-4.0,5.0,29.0,3.0
2022-03-16,-5.0,37.0,5.0,4.0,29.0,3.0
2022-03-17,-4.0,42.0,13.0,5.0,30.0,2.0
2022-03-18,-1.0,44.0,10.0,7.0,34.0,2.0
2022-03-19,2.0,43.0,4.0,0.0,22.0,3.0
2022-03-20,-6.0,42.0,-6.0,-9.0,20.0,5.0
2022-03-21,-9.0,38.0,-9.0,4.0,35.0,3.0
2022-03-22,-8.0,39.0,-4.0,4.0,30.0,3.0
2022-03-23,-5.0,36.0,4.0,4.0,31.0,3.0
2022-03-24,-6.0,40.0,8.0,5.0,32.0,2.0
2022-03-25,-3.0,43.0,8.0,5.0,34.0,2.0
2022-03-26,0.0,42.0,5.0,-1.0,25.0,3.0
2022-03-27,-6.0,41.0,-1.0,-7.0,20.0,4.0
2022-03-28,-11.0,34.0,-5.0,4.0,37.0,3.0
2022-03-29,-9.0,37.0,-3.0,2.0,32.0,2.0
2022-03-30,-6.0,38.0,4.0,3.0,33.0,2.0
2022-03-31,-6.0,47.0,3.0,3.0,34.0,2.0
2022-04-01,-3.0,49.0,-3.0,4.0,38.0,1.0
2022-04-02,2.0,49.0,-8.0,-4.0,24.0,3.0
2022-04-03,-4.0,48.0,-11.0,-9.0,21.0,4.0
2022-04-04,-7.0,40.0,-5.0,6.0,38.0,2.0
2022-04-05,-5.0,44.0,-3.0,5.0,33.0,1.0
2022-04-06,0.0,46.0,7.0,6.0,34.0,1.0
2022-04-07,2.0,54.0,12.0,9.0,35.0,1.0
2022-04-08,5.0,54.0,7.0,11.0,38.0,1.0
2022-04-09,11.0,55.0,5.0,8.0,28.0,2.0
2022-04-10,6.0,57.0,7.0,1.0,23.0,3.0
2022-04-11,-2.0,48.0,-2.0,10.0,40.0,2.0
2022-04-12,-2.0,47.0,-1.0,8.0,34.0,2.0
2022-04-13,4.0,50.0,11.0,9.0,33.0,2.0
2022-04-14,11.0,74.0,23.0,9.0,16.0,1.0
2022-04-15,-34.0,17.0,28.0,-41.0,-61.0,16.0
2022-04-16,0.0,53.0,15.0,-10.0,6.0,5.0
2022-04-17,-11.0,39.0,-3.0,-3.0,19.0,1.0
2022-04-18,-7.0,37.0,-4.0,8.0,36.0,3.0
2022-04-19,-6.0,38.0,-1.0,6.0,32.0,2.0
2022-04-20,6.0,48.0,15.0,9.0,31.0,0.0
2022-04-21,-18.0,25.0,42.0,-34.0,-46.0,14.0
2022-04-22,0.0,48.0,24.0,-10.0,2.0,7.0
2022-04-23,-3.0,39.0,14.0,-4.0,18.0,4.0
