days_to_fit_within_outbreak,outbreak,alpha,estimation,result_fun,result_nfev,result_nit,result_success,start_time,end_time,duration_seconds,pop_size,period_in_days,days_to_recovery,date_first_case,outbreak_start_date,max_date_to_fit,max_date_to_analyze,list_breakpoints_in_slow_transition,x_initial_infected_population,x_days_between_infections_0,x_case_fatality_probability_0,x_loss_immunity_in_days_0,x_days_between_infections_1,x_breakpoint_1,x_transition_days_between_epidemic_periods_1
28.0,0.0,0.0,0.0,0.34667958975727287,3388.0,83.0,True,2023-12-05 16:11:19,2023-12-05 16:11:40,20.666977,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.019698899433593743,3.182639868183929,0.003837116570891447,167.28106089000073,5.7273876457877995,41.74186049718888,1.8258306443088408
28.0,0.0,0.0,1.0,0.37070437807379464,2950.0,73.0,True,2023-12-05 16:11:40,2023-12-05 16:12:01,20.939758,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.01368288988276429,3.1699887742769173,0.006136003128280508,202.14675732843577,3.5081255544727354,37.4315510405541,19.232071449696203
28.0,0.0,0.0,2.0,0.37452879159563324,1861.0,46.0,True,2023-12-05 16:12:01,2023-12-05 16:12:13,12.443834,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.014270924121894499,3.1744819015940466,0.005347800343256144,222.7702944278303,3.227308386107306,23.851242460514097,7.346017018958676
28.0,0.0,0.0,3.0,0.3504920453105373,3644.0,91.0,True,2023-12-05 16:12:13,2023-12-05 16:12:39,25.115078,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.00696341289197964,3.1808040866454834,0.010647723577801369,197.54804015223334,4.542095090990841,41.5625510222773,2.014805497179868
28.0,0.0,0.0,4.0,0.37255638255141377,2184.0,47.0,True,2023-12-05 16:12:39,2023-12-05 16:12:56,16.973042,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.0069128236795313455,3.1700513520750406,0.01156106303602996,237.3738342781933,3.3253913885337694,28.231654556557416,13.698965544849672
28.0,0.0,0.0,5.0,0.3473241155421359,3295.0,84.0,True,2023-12-05 16:12:56,2023-12-05 16:13:18,22.869599,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.01057004378762302,3.185327289608113,0.0073236758379289614,279.75696378048696,5.285137594371287,41.31879560777686,2.160384435374425
28.0,0.0,0.0,6.0,0.36627768246988757,1953.0,50.0,True,2023-12-05 16:13:18,2023-12-05 16:13:30,12.015672,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.027848755971554326,3.2096796734364976,0.0029809764148760044,284.97349826389944,3.445131040190482,39.90213135236616,1.9052521957239072
28.0,0.0,0.0,7.0,0.3732525988446885,2233.0,58.0,True,2023-12-05 16:13:30,2023-12-05 16:13:44,13.649673,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.013308587745515984,3.1777370621678727,0.005855644171622202,263.4853111131512,3.2923988898774423,33.27596161219137,17.10831460356175
28.0,0.0,0.0,8.0,0.34608565161740135,3207.0,84.0,True,2023-12-05 16:13:44,2023-12-05 16:14:03,19.410093,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.02213255756551472,3.171993778967944,0.0032387515098235486,246.70351610306966,5.5277438823355505,41.8067156554412,1.8297899024472208
28.0,0.0,0.0,9.0,0.3711708216161336,2335.0,52.0,True,2023-12-05 16:14:03,2023-12-05 16:14:19,15.717944,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.017858918964305574,3.187302151288868,0.005109961370287719,180.6685113136655,3.4106786907531763,29.70113454887197,10.705128195534769
28.0,0.0,0.0,10.0,0.37438921881156517,1533.0,38.0,True,2023-12-05 16:14:19,2023-12-05 16:14:29,9.503336,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.007518364817015861,3.1900722757397686,0.010487721221599727,124.75763121330925,3.244905855324275,31.370979705324874,14.98625709388897
28.0,0.0,0.0,11.0,0.37157903860288266,2093.0,46.0,True,2023-12-05 16:14:29,2023-12-05 16:14:43,14.147957,5.0,133.0,8.0,2020-02-16,2020-03-01,2020-03-29,2020-06-28,[],0.02429428458555607,3.1767264238094874,0.0035286354147386,327.6009481383837,3.489726295735049,40.916989093383094,23.121351374175006
