location,estimation,result_fun,result_nfev,result_nit,result_success,start_time,end_time,duration_seconds,pop_size,period_in_days,days_to_recovery,cumulative_days_in_first_outbreak_to_max_bound_I0,date_first_case,list_breakpoints_in_slow_transition,x_initial_infected_population,x_days_between_infections_0,x_case_fatality_probability_0,x_loss_immunity_in_days_0,x_case_fatality_probability_1,x_loss_immunity_in_days_1,x_case_fatality_probability_2,x_loss_immunity_in_days_2,x_case_fatality_probability_3,x_loss_immunity_in_days_3,x_case_fatality_probability_4,x_loss_immunity_in_days_4,x_days_between_infections_1,x_breakpoint_1,x_transition_days_between_epidemic_periods_1,x_days_between_infections_2,x_breakpoint_2,x_transition_days_between_epidemic_periods_2,x_days_between_infections_3,x_breakpoint_3,x_transition_days_between_epidemic_periods_3,x_days_between_infections_4,x_breakpoint_4,x_transition_days_between_epidemic_periods_4,x_days_between_infections_5,x_breakpoint_5,x_transition_days_between_epidemic_periods_5,x_days_between_infections_6,x_breakpoint_6,x_transition_days_between_epidemic_periods_6,x_days_between_infections_7,x_breakpoint_7,x_transition_days_between_epidemic_periods_7,x_days_between_infections_8,x_breakpoint_8,x_transition_days_between_epidemic_periods_8,x_days_between_infections_9,x_breakpoint_9,x_transition_days_between_epidemic_periods_9,x_days_between_infections_10,x_breakpoint_10,x_transition_days_between_epidemic_periods_10,x_days_between_infections_11,x_breakpoint_11,x_transition_days_between_epidemic_periods_11,x_days_between_infections_12,x_breakpoint_12,x_transition_days_between_epidemic_periods_12,x_days_between_infections_13,x_breakpoint_13,x_transition_days_between_epidemic_periods_13
Spain,0.0,0.2589882962337291,246053.0,958.0,True,2023-12-13 00:58:01,2023-12-13 02:57:29,7167.789525,5.0,1068.0,8.0,0.0,2020-01-29,"[3, 4, 8, 10]",0.0024218049944399,2.735356632729024,0.008002892538699,137.67194135141665,0.0007482105873607,252.58708131266488,0.0014360952340513,336.7629201577636,0.002039002233167,166.95850242494663,0.0003176086564695,210.332838176971,11.755997661771689,58.92563521869222,13.209765430667858,5.139821451426504,169.05270325222037,5.097665530112458,5.966205635501124,209.53782367039616,32.52850714642162,3.4265953797508963,338.6020702703229,7.39552076483346,2.6855617903698965,527.721201603529,7.475166319750336,5.399986302025712,563.7586190447965,14.873260057120248,4.016307639484634,641.1477880403435,20.767832722680183,6.623163710361598,730.5325374590709,3.911848236361088,4.932494320446947,799.9818650183195,27.747316397007708,5.972272815140591,877.6088122997662,46.016417546492974,5.422563501649557,983.192177462298,16.487845413796887,5.085061117217289,1028.821897701001,22.182824129918732,5.516952503516664,1043.310979450881,23.836759271847203
United Kingdom,0.0,0.2316596508121736,159792.0,655.0,True,2023-12-13 02:57:29,2023-12-13 04:04:53,4044.147214,5.0,1042.0,8.0,,2020-02-24,"[1, 3, 6, 9]",0.0014802853812419,1.9843335634457773,0.010285172650468,127.61367917435444,0.0024849859601457,327.3570647957389,0.0005437181640079,218.47022454100323,0.0020711843151311,229.0426364122892,0.0009824658559839,285.2313018426806,9.50062997347752,37.70111041981002,12.044867270489556,5.393648608948062,187.08216945683844,10.257016031747348,3.444356473378073,312.666602711269,4.93184864271888,3.543335215201893,479.5452851468463,17.66609977782497,4.645378879802396,542.3970857151323,36.637868183130685,4.914047321887517,591.9674580649314,35.98218890083191,4.613065705115575,663.3772640781957,9.385486335107402,5.55677739067252,742.9975085721417,53.21654699434073,4.968470794368805,844.5707652143855,7.363317744530114,5.879998696346832,934.947953981616,51.522649701642585,4.406554044494586,1011.7869456412584,7.2013856790271085,4.190372383923632,1017.6034490048436,18.23901052147054,,,
United States,0.0,0.1239888036897333,335467.0,1464.0,True,2023-12-13 04:04:53,2023-12-13 06:18:07,7993.383305,5.0,1055.0,8.0,0.0,2020-02-11,"[2, 4, 7, 9]",0.0067261002963592,2.9018971145724066,0.0081483365029308,293.46898007442314,0.0022704550303135,329.472267499173,0.0017382140288274,224.42224641036995,0.0005774330071107,225.5712197783155,0.0007239113259777,277.5640119843557,8.645742600270601,53.85684742353579,16.011356349697497,7.045131649662686,131.7201418360585,6.741633278085029,5.639786668268784,255.2847889958932,17.077929969898463,5.390123939181311,303.2991905841759,20.5790058195978,3.4237368481270263,524.4658477608116,11.375473760335163,4.910187412028563,545.5700560914273,44.20336747460272,2.8605103574562523,676.0051328830416,33.62788330343737,3.53115228221417,876.1210188059924,45.78373899242267,3.993204361074683,973.119043540268,54.028523071987465,3.5428158911316068,1019.9585759281072,18.24240404367529,3.458805463866585,1030.3138162111518,15.210407933550846,,,,,,
Spain,1.0,0.2469481111303692,454792.0,1767.0,True,2023-12-13 06:18:07,2023-12-13 09:54:32,12985.744326,5.0,1068.0,8.0,0.0,2020-01-29,"[3, 4, 8, 10]",0.0023024154899456,2.3767607628089262,0.0021286315010204,174.29914393088208,0.001085754455703,270.0793236040104,0.0006981865892982,358.3579137692054,0.0009343161790019,164.37096548031698,0.000695396061206,283.9477791435126,9.906294925935963,53.18914305777052,19.254749481382586,4.580588343115949,167.3646675573818,4.435027274615539,5.125227497559154,209.15438976486564,16.424198159485865,2.774737098106796,339.2950956509788,7.559437116962293,2.1170266874992354,530.7713870945979,5.349629264804204,4.117717334581562,563.2754852722908,21.258923547336387,2.241249106654948,672.6800194650302,29.42955933691554,4.480228265587592,708.8933843117162,40.26356478630961,3.2975854900454378,817.6230561406975,50.71804630721361,5.355001327379038,875.4768543813881,52.37364348912934,4.56624042358855,976.1541454268564,6.731419925106689,4.727438623519113,1030.1967613299414,35.30746855706493,4.763671742982288,1043.626743592906,35.39216794782755
United Kingdom,1.0,0.2649002258725566,205309.0,842.0,True,2023-12-13 09:54:32,2023-12-13 11:26:07,5494.722572,5.0,1042.0,8.0,,2020-02-24,"[1, 3, 6, 9]",0.0014819015572669,2.0157591262949834,0.0127708014867461,319.12497259933383,0.0086778955838174,320.7009651950016,0.0025756260926037,202.53932542962605,0.0007433975430642,272.63132741491376,0.0001889242547375,151.42589376136928,10.422945895917376,37.81733632159998,13.39093897237224,5.64769314838938,192.94582857167677,0.1733292338731082,8.5911261174001,330.96286065051333,4.03783041372472,5.314512765735514,461.2264513379028,16.777161747953095,6.343229866035095,530.3264981881248,31.295071848863056,5.872142543091698,598.6461983269913,22.030148200808902,4.896764195464266,662.8827182733111,3.925461393382534,3.782528382935217,738.3726683283883,3.8346671388443134,2.882645599181424,840.0002334561615,4.649941053798699,2.049798969249509,938.4212175205048,7.899904080336881,2.2709276695973752,1010.9581446863548,44.04215564131192,2.1663234381246697,1017.4991465274647,26.01293327219233,,,
United States,1.0,0.1228921871300408,377406.0,1669.0,True,2023-12-13 11:26:07,2023-12-13 13:47:10,8462.994776,5.0,1055.0,8.0,0.0,2020-02-11,"[2, 4, 7, 9]",0.0025624040802561,2.6032638904805943,0.0039441063202502,145.74635589745253,0.0023877447649158,328.45822006123285,0.0015745591743596,223.12960539955515,0.0007802232691782,285.7054980878955,0.000457218211861,165.32049757064382,8.363052117777373,51.41973601094188,15.804972453745815,7.077824339116302,131.52222723076594,2.021864377933305,5.446366145915843,259.16232032095354,25.26204181614137,5.27624464536618,284.38543936529845,43.94124302258331,3.6550646429562175,525.6648750828534,18.166527821478866,4.6770209977807085,558.4022177380808,24.089201865382364,2.668216782278636,677.2411810171668,33.307781237446214,3.1434764530710906,880.9647439178717,35.71255588263348,3.9596427539206887,977.1752293390152,51.26558405065445,2.471351055718027,1027.1684461860957,25.18914067669351,4.689678779679936,1030.7082206565765,43.90248171027949,,,,,,
Spain,2.0,0.2577552382683874,393377.0,1518.0,True,2023-12-13 13:47:10,2023-12-13 16:54:05,11215.10517,5.0,1068.0,8.0,0.0,2020-01-29,"[3, 4, 8, 10]",0.0051718036160282,2.700861011924783,0.0049791459378841,93.4574153940108,0.0009724982630041,268.1278941560466,0.0012039622145417,272.377807005205,0.0011109631253141,242.63902296383205,0.0005441724948895,318.2731168052774,11.548041238462666,57.25048488831077,15.468162737829989,5.21800761583668,168.19568990703553,1.6790599188677895,6.007971242784545,215.3152811400733,29.995087601104952,3.8415011066664735,335.8221948697972,5.378270841037267,2.974427351661835,529.0723345077529,6.6166346133859335,5.523131369862665,563.5174020456535,13.057235994921118,3.220000387008016,673.273626186282,54.412620542919065,5.662404309369486,728.77758107307,15.88142243005185,3.3464273765365298,819.9350872061635,49.72521442526249,4.912123416344138,871.6594488160683,53.039589317899015,4.336923074044488,981.0999474841076,12.475884868612026,3.187538541790925,1036.6507668664344,11.346906198255276,5.96765474847572,1043.3570421078628,17.20962903819632
United Kingdom,2.0,0.2320837257555807,159690.0,646.0,True,2023-12-13 16:54:05,2023-12-13 18:01:24,4038.988818,5.0,1042.0,8.0,,2020-02-24,"[1, 3, 6, 9]",0.0014809579989413,1.981913716527969,0.0117118910286928,171.14946499628869,0.0026951471336169,331.915926459223,0.0005079432400701,258.8817615907813,0.0023815081208123,198.5670151641503,0.000785012458433,316.13208853247346,9.533965393685431,37.343100435190536,12.79161734349523,5.444317269325804,187.19180537343055,11.501701227897344,3.534014026269729,313.7545046261603,9.390340179153146,3.284960869268752,463.8570773590128,27.879907960770318,4.528162381174944,537.4442943726684,33.81448818457189,4.984446588370728,596.2186321258325,40.20644450676895,4.924255065540226,661.7907273912201,22.790730945270862,5.880213710646277,749.5336977731586,52.596994529986425,5.2917834704195865,837.6935183876909,11.209489243857082,5.466919289904331,938.0029128993456,12.152137050982144,6.017204241930314,1011.2394529288194,35.00925249571152,3.6252405325584327,1017.7688792280215,8.757333185592419,,,
United States,2.0,0.125389345279662,421116.0,1851.0,True,2023-12-13 18:01:24,2023-12-13 20:42:34,9669.511145,5.0,1055.0,8.0,0.0,2020-02-11,"[2, 4, 7, 9]",0.0017532892204282,2.62816816638917,0.0068707251757611,342.8409473710328,0.0027356931597363,284.6220520673053,0.0016696856911587,192.7774835851697,0.0006464729143373,237.08885229616365,0.0010410182297821,272.4652319317984,8.535888208541474,51.993042814509536,15.997796292045615,7.1995343850789055,131.02793406283016,2.750150316608728,5.237321979601654,263.986420650429,30.090137535085795,5.986949120387776,315.9742476565761,52.73714039972641,3.785154513758994,522.0958774473878,11.53947479340322,5.39372385976935,550.5599156175128,40.020810215388586,3.2586420303033137,671.4667296461843,33.353349299441376,3.791076877085908,881.8407233299721,20.053786120826352,4.709637979588176,974.6512717957622,54.24882182101192,4.054999546862451,1028.7739985189708,26.29854217566325,4.033327576394395,1030.3821331977194,43.99818719232907,,,,,,
Spain,3.0,0.2609817518837173,321444.0,1251.0,True,2023-12-13 20:42:34,2023-12-13 23:11:18,8924.303314,5.0,1068.0,8.0,0.0,2020-01-29,"[3, 4, 8, 10]",0.0063779781457995,2.643667072611637,0.0024925554043129,294.2027929349538,0.0010961887083051,258.6467316991104,0.0007241836627429,345.82680638080024,0.00151399646542,232.75920487893876,0.0023863144949307,295.7483538349428,9.889248442579776,56.94674550565135,15.32810081316578,4.534840327443049,168.68363660783976,4.287671055609142,5.1578393154485465,208.71682298201324,20.86670493191811,2.851413620107564,339.7676625379676,7.005711182511664,2.3066293421877395,525.74563617099,3.8188901507110273,4.391691093868353,564.4307491461217,18.88015702149958,2.409077288500263,668.5641892320477,32.83219120546224,4.813536279338873,714.0301318600617,34.03738068857796,3.750362115316445,803.7596778897879,23.63332433382187,6.141071196232263,880.6407894474447,50.28774465525193,5.3747547001226845,980.611752845796,17.08506588139377,5.462642702527621,1031.1702397875763,15.799307739689285,5.564351451387036,1043.8128144545412,18.79755755634957
